日期,股票代碼,類別,數值,原始名稱
1998-12-31,2454,CostOfGoodsSold,1310071000,營業成本
1998-12-31,2454,GrossProfit,1492466000,營業毛利
1998-12-31,2454,AdjustmentItem,0,調整項目
1998-12-31,2454,OperatingExpenses,548947000,營業費用
1998-12-31,2454,OperatingIncome,943519000,營業利益
1998-12-31,2454,TotalNonbusinessIncome,64395000,營業外收入
1998-12-31,2454,TotalnonbusinessExpenditure,29167000,營業外支出
1998-12-31,2454,PreTaxIncome,978747000,稅前純益
1998-12-31,2454,TAX,28821000,所得稅(利益)
1998-12-31,2454,IncomeLossFromDiscontinuedOperation,0,停業部門損益
1998-12-31,2454,ExtraordinaryItems,0,非常損益
1998-12-31,2454,CumulativeEffectOfChanges,0,累積影響數
1998-12-31,2454,IncomeAfterTax,949926000,稅後純益
1998-12-31,2454,EPS,15.28,每股稅後盈餘(元)
1999-12-31,2454,CostOfGoodsSold,3236023000,營業成本
1999-12-31,2454,GrossProfit,2422862000,營業毛利
1999-12-31,2454,AdjustmentItem,0,調整項目
1999-12-31,2454,OperatingExpenses,739948000,營業費用
1999-12-31,2454,OperatingIncome,1682914000,營業利益
1999-12-31,2454,TotalNonbusinessIncome,121309000,營業外收入
1999-12-31,2454,TotalnonbusinessExpenditure,27301000,營業外支出
1999-12-31,2454,PreTaxIncome,1776922000,稅前純益
1999-12-31,2454,TAX,131068000,所得稅(利益)
1999-12-31,2454,IncomeLossFromDiscontinuedOperation,0,停業部門損益
1999-12-31,2454,ExtraordinaryItems,0,非常損益
1999-12-31,2454,CumulativeEffectOfChanges,0,累積影響數
1999-12-31,2454,IncomeAfterTax,1645854000,稅後純益
1999-12-31,2454,EPS,14.6,每股稅後盈餘(元)
2000-12-31,2454,CostOfGoodsSold,7498313000,營業成本
2000-12-31,2454,GrossProfit,5363389000,營業毛利
2000-12-31,2454,AdjustmentItem,0,調整項目
2000-12-31,2454,OperatingExpenses,1706805000,營業費用
2000-12-31,2454,OperatingIncome,3656584000,營業利益
2000-12-31,2454,TotalNonbusinessIncome,331652000,營業外收入
2000-12-31,2454,TotalnonbusinessExpenditure,493024000,營業外支出
2000-12-31,2454,PreTaxIncome,3495212000,稅前純益
2000-12-31,2454,TAX,168669000,所得稅(利益)
2000-12-31,2454,IncomeLossFromDiscontinuedOperation,0,停業部門損益
2000-12-31,2454,ExtraordinaryItems,0,非常損益
2000-12-31,2454,CumulativeEffectOfChanges,0,累積影響數
2000-12-31,2454,IncomeAfterTax,3326543000,稅後純益
2000-12-31,2454,EPS,15.34,每股稅後盈餘(元)
2001-03-31,2454,CostOfGoodsSold,1213170000,營業成本
2001-03-31,2454,GrossProfit,1042823000,營業毛利
2001-03-31,2454,AdjustmentItem,0,調整項目
