stock_symbol,company_name,abbreviation,sector_id,address,chairman,general_manager,spokesperson,spokesperson_title,founding_date,otc_listed_date,outstanding_common_shares,private_placement_common_shares,preferred_shares,common_stock_dividend_frequency,common_stock_dividend_decision_level,accounting_firm,accountant_1,accountant_2,website
1240,茂生農經股份有限公司,茂生農經,34,台北市和平西路一段三十號二樓,吳清德,吳清德,林信鴻,公司治理主管,1967-02-18,2018-08-08,41338666,0,0,每年,股東會,勤業眾信聯合會計師事務所,陳重成,黃海悅,https://www.morn-sun.com.tw/?@
1259,安心食品服務股份有限公司,安心,30,台北市大安區仁愛路3段136號2樓201室,黃茂雄,謝靜慧,高順興,副董事長,1990-11-23,2011-12-15,32389500,0,0,每年,董事會,資誠聯合會計師事務所,徐明釧,邱昭賢,http://www.mos.com.tw
1264,德麥食品股份有限公司,德麥,8,新北市五股區五權五路31號,林雪嬌,吳文欽,邱俊榮,財務經理,1989-06-29,2015-04-09,37052367,0,0,每年,董事會,勤業眾信聯合會計師事務所,張耿禧,劉力維,http://www.tehmag.com.tw
1268,漢來美食股份有限公司,漢來美食,30,高雄市前金區成功一路266號21樓之1,林淑婷,林淑婷,柯柏良,財務長,2003-01-09,2017-09-27,42223730,0,0,每年,董事會,勤業眾信聯合會計師事務所,陳珍麗,張慈媛,www.hilai-foods.com
1294,漢田生技股份有限公司,漢田生技,8,彰化縣溪湖鎮西溪里工業路101號,李雨霖,李雨霖,劉騏豪,財務長,2007-10-22,2024-09-26,27623263,0,0,每年,董事會,勤業眾信聯合會計師事務所,陳明煇會計師,吳恪昌會計師,https://www.htbios.com/
1295,生合生物科技股份有限公司,生合,8,高雄市路竹區北嶺六路66號,楊連傳,楊三連(執行長),張秀如,副總經理,2000-06-01,2025-05-27,31354800,0,0,每年,董事會,安侯建業聯合會計師事務所,高鈺倫,陳永祥,http://www.synbiotech.com
1336,台翰精密科技股份有限公司,台翰,13,桃園市龜山區民生北路一段568號1樓,蔡鎮隆,蔡鎮隆,李晉誠,執行副總經理,1987-08-28,2007-11-02,77614419,0,0,每年,董事會,資誠聯合會計師事務所,葉翠苗,林佳鴻,www.thpt.com.tw
1565,精華光學股份有限公司,精華,19,新北市汐止區大同路一段276之2號4、5樓,陳明賢,周育然,周華玲,稽核室副理,1986-09-24,2004-03-30,50416516,0,0,每年,董事會,資誠聯合會計師事務所,蔡蓓華,游淑芬,http://www.stshine.com.tw
1569,濱川企業股份有限公司,濱川,12,高雄市大寮區大發工業區興業路二號,蕭欽銘,蕭欽群,李璠,副總經理,1983-03-30,2005-07-29,121447441,0,0,每年,股東會,勤業眾信聯合會計師事務所,劉裕祥,許瑞軒,https://www.hamagawa.com.tw/
1570,力肯實業股份有限公司,力肯,11,新北市八里區博物館路81號,溫銘漢,溫銘漢,溫銘漢,董事長兼總經理,1983-12-23,2005-06-30,51500839,0,0,每年,股東會,勤業眾信聯合會計師事務所,龔則立會計師,方涵妮會計師,www.depoan.com
1580,新麥企業股份有限公司,新麥,11,新北市五股區五權六路23號,謝順和,謝順和,蕭淑娟,副總經理,1983-09-27,2007-12-10,50230242,0,0,每年,董事會,勤業眾信聯合會計師事務所,張耿禧,劉力維,www.sinmag.com.tw
1584,精剛精密科技股份有限公司,精剛,33,台南市柳營區工一路15號(環保科技園區),王炯棻,邱俊宏 (兼任),邱俊宏,執行長,2002-05-15,2007-11-28,232470533,0,0,每年,股東會,資誠聯合會計師事務所,田中玉,徐惠榆,http://www.s-tech.com.tw
1586,和勤精機股份有限公司,和勤,11,彰化縣伸港鄉興工路40號,黃亦翔,黃亦翔,黃湘怡,集團副總經理,1992-11-09,2012-01-09,106849467,20000000,0,每年,董事會,安侯建業聯合會計師事務所,高鈺倫,陳宗哲,http://www.cftc.tw
1591,英屬開曼群島商駿吉控股(股)公司,駿吉-KY,11,"Suite 102, Cannon Place, North Sound Rd., George Town",意欣國際有限公司,胡德立,張志銘,副總經理,2009-11-19,2012-03-23,38048047,3250000,0,每半會計年度,董事會,安永聯合會計師事務所,楊弘斌,林世寰,http://inmaxholding.com/
1593,祺驊股份有限公司,祺驊,32,新竹縣湖口鄉德興路231號,李佳蓉,李佳蓉,黃寧民,財務部副總經理,1997-03-15,2012-06-13,39784772,0,0,每季,董事會,勤業眾信聯合會計師事務所,邱鏞銘,張至誼,http://www.chihua.com.tw
