stock_symbol,company_name,abbreviation,sector_id,address,chairman,general_manager,spokesperson,spokesperson_title,founding_date,listed_date,outstanding_common_shares,private_placement_common_shares,preferred_shares,common_stock_dividend_frequency,common_stock_dividend_decision_level,accounting_firm,accountant_1,accountant_2,website
1101,臺灣水泥股份有限公司,台泥,6,台北市中山北路2段113號,張安平,程耀輝,葉毓君,永續長,1950-12-29,1962-02-09,7551181742,0,200000000,每年,股東會,勤業眾信聯合會計師事務所,翁雅玲,黃惠敏,https://www.tccgroupholdings.com/tw/
1102,亞洲水泥股份有限公司,亞泥,6,台北市大安區敦化南路2段207號30、31樓,徐旭東,李坤炎,王照宇,協理,1957-03-21,1962-06-08,3546562881,0,0,每季,董事會,勤業眾信聯合會計師事務所,戴信維,池瑞全,www.acc.com.tw
1103,嘉新水泥股份有限公司,嘉泥,6,台北市中山北路二段96號,張剛綸,王立心,金哲毅,董事會秘書室資深經理,1954-12-13,1969-11-14,790247459,0,0,每年,股東會,勤業眾信聯合會計師事務所,陳薔旬,梁盛泰,www.chcgroup.com.tw
1104,環球水泥股份有限公司,環泥,6,台北市南京東路二段125號10樓,博智投資股份有限公司,侯智升,楊宗仁,副總經理,1960-03-21,1971-02-01,686681816,0,0,每年,股東會,勤業眾信聯合會計師事務所,李季珍,廖鴻儒,www.ucctw.com
1108,幸福水泥股份有限公司,幸福,6,台北市松江路237號15樓,陳韻如,陳明賢,溫秀菊,財務部經理,1974-05-07,1990-06-06,404738049,0,0,每半會計年度,股東會,勤業眾信聯合會計師事務所,陳招美,陳薔旬,www.luckygrp.com.tw
1109,信大水泥股份有限公司,信大,6,台北市寶慶路37號7樓,楊智雄,楊大寬,張清壽,資深協理,1964-03-15,1991-12-05,341158868,0,0,每年,股東會,資誠聯合會計師事務所,李秀玲,支秉鈞,www.hsingta.com.tw
1110,東南水泥股份有限公司,東泥,6,高雄市前金區五福三路21號4樓之1,陳敏斷,吳炎輝,黃薪翰,財務部副總經理,1956-12-28,1994-10-22,572000797,0,0,每年,股東會,國富浩華聯合會計師事務所,黃致富,黃鈴雯,www.southeastcement.com.tw
1201,味全食品工業股份有限公司,味全,8,台北市松江路125號,陳宏裕,林建宏,李文學,財務長,1953-09-22,1962-02-09,506062914,0,0,每年,董事會,資誠聯合會計師事務所,黃世鈞,葉翠苗,https://www.weichuan.com.tw
1203,味王股份有限公司,味王,8,台北市中山北路二段79號5樓,陳清福,陳恭平,魏璟雄,協理,1959-07-04,1964-08-24,240000000,0,0,每年,股東會,大中國際聯合會計師事務所,溫明郁,張卉諭,https://www.vewong.com/
1210,大成長城企業股份有限公司,大成,8,台南市永康區蔦松二街三號,韓家宇,韓芳豪,夏銜譽,副總經理,1960-12-28,1978-05-20,894767222,0,0,每年,董事會,安侯建業會計師事務所,李逢暉,蔡佩汝,http://www.dachan.com
1213,大西洋飲料股份有限公司,大飲,8,桃園市平鎮區南勢里2鄰南東路410號,蘇芸樂,洪松輝,蘇芸樂,董事長,1965-07-24,1981-04-10,56622627,0,0,每年,股東會,南台聯合會計師事務所,丁澤祥,蔡玉琴,http://applesidra.com.tw
1215,台灣卜蜂企業股份有限公司,卜蜂,8,台北市松江路八十七號十七樓,鄭武樾,許瑞通,劉明哲,特別助理,1977-08-22,1987-07-27,294790098,0,0,每年,董事會,資誠聯合會計師事務所,林一帆,廖福銘,http://www.cptwn.com.tw
1216,統一企業股份有限公司,統一,8,71001台南市永康區中正路301號,羅智先,黃釗凱、李清田,陳國煇,財務長,1967-08-25,1987-12-28,5682015421,0,0,每年,股東會,資誠聯合會計師事務所,田中玉,吳建志,https://www.uni-president.com.tw
1217,愛之味股份有限公司,愛之味,8,嘉義縣民雄鄉工業二路11號,陳冠翰,陳志展,陳冠翰,董事長,1971-06-26,1989-10-28,494513336,0,0,每年,董事會,國富浩華聯合會計師事務所,黃鈴雯,李國銘,www.agv.com.tw
1218,泰山企業股份有限公司,泰山,8,彰化縣田中鎮興工路6號,劉偉龍,沈怡君,李淑惠,副總經理,1950-10-26,1989-11-11,499999038,0,0,每季,董事會,安永聯合會計師事務所,林素雯,楊智惠,www.taisun.com.tw
1219,福壽實業股份有限公司,福壽,8,台中市沙鹿區沙田路45號,洪堯昆,趙文強,王四全,特助,1955-02-07,1990-12-01,341602364,0,0,每半會計年度,董事會,群智聯合會計師事務所,張鈞富,吳乾萌,www.fwusow.com.tw
1220,台榮產業股份有限公司,台榮,8,台北市中山區南京東路二段206號6樓,倍安利投資有限公司,陳英凱,周忠平,經理,1969-03-13,1991-11-20,177077944,0,0,每年,股東會,立本台灣聯合會計師事務所,柯俊輝,張鈞鈞,http://www.tairoun.com.tw/
1225,福懋油脂股份有限公司,福懋油,8,台中市大肚區沙田路一段453號,興泰實業股份有限公司(代表人楊淑樺),張志賓,秦慧如,財務副總經理,1986-04-18,1993-09-27,229638204,0,0,每年,董事會,群智聯合會計師事務所,呂松裕,張鈞富,WWW.FOPCO.COM.TW
1227,佳格食品股份有限公司,佳格,8,台北市內湖區瑞光路610號10樓,曹德風,曹博睿,曹德風,董事長,1986-06-06,1994-04-09,915089591,0,0,每年,股東會,勤業眾信聯合會計師事務所,方涵妮,陳昭宇,https://www.sfworldwide.com/
